Occupation_x	Occupation_y	summary	sampleTitles
Epidemiologists	Epidemiologists	Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control.	Chronic Disease Epidemiologist, Communicable Disease Specialist, Environmental Epidemiologist, Epidemiologist, Epidemiology Investigator, Infection Control Practitioner (ICP), Nurse Epidemiologist, Public Health Epidemiologist, Research Epidemiologist, State Epidemiologist
Food Scientists and Technologists	Food Scientists and Technologists	Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.	Food Science Professor, Food Scientist, Food Technologist, Product Development Manager, Product Development Scientist, Professor, Quality Assurance Manager (QA Manager), Research and Development Director (R & D Director), Research and Development Manager (R & D Manager), Research Scientist
Forensic Science Technicians	Forensic Science Technicians	Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.	Crime Laboratory Analyst, Crime Scene Analyst, Crime Scene Technician (Crime Scene Tech), CSI (Crime Scene Investigator), Evidence Technician, Forensic Science Examiner, Forensic Scientist, Forensic Specialist, Latent Fingerprint Examiner, Latent Print Examiner
Forest and Conservation Technicians	Forest and Conservation Technicians	Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts, under the direction of foresters; or train and lead forest workers in forest propagation, fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.	Conservationist, Fire Technician, Forest Ranger, Forest Technician, Forestry Aide, Forestry Technician, Natural Resources Technician, Resource Manager, Resource Technician, Wildlife Technician
Foresters	Foresters	Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules.	Area Forester, Chief Unit Forester, Environmental Protection Forester, Fire Prevention Forester, Forest Practices Field Coordinator, Forester, Regional Forester, Resource Forester, Silviculturist, Urban Forester
Geographers	Geographers	Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.	Earth Observations Chief Scientist (NASA), Environmental Affairs Corporate Director, Geographic Information Systems Analyst (GIS Analyst), Geographic Information Systems Program Director (GIS Program Director), GIS Geographer (Geographic Information Systems Geographer), GIS Physical Scientist (Geographic Information Systems Physical Scientist), Research Coordinator, Scientist, Supervisory Geographer
Geological and Petroleum Technicians	Geological and Petroleum Technicians	Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in both laboratory and production activities to obtain data indicating potential resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes. Investigate and collect information leading to the possible discovery of new metallic ore, minerals, gas, coal, or petroleum deposits.	none
Geological Sample Test Technicians	Geological Sample Test Technicians	Test or analyze geological samples, crude oil, or minerals to detect presence of petroleum, gas, or mineral deposits indicating potential for exploration or production or to determine physical or chemical properties to ensure that products meet quality standards.	Core Inspector, Electron Microprobe Operator, Environmental Field Services Technician, Environmental Sampling Technician, Laboratory Technician, Materials Technician, Organic Section Technical Lead, Physical Science Technician, Quality Control Technician (QC Technician), Research Associate
Geophysical Data Technicians	Geophysical Data Technicians	Measure, record, or evaluate geological data, using sonic, electronic, electrical, seismic, or gravity-measuring instruments to prospect for oil or gas. May collect or evaluate core samples or cuttings.	Exploration Manager, Field Engineer, Geological E-Logger, Geological Technician, Geoscience Technician, Geoscientist, Geotechnician, Observer, Soils Technician, Technical Assistant
Geoscientists, Except Hydrologists and Geographers	Geoscientists, Except Hydrologists and Geographers	Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, crystallographers, paleontologists, stratigraphers, geodesists, and seismologists.	Engineering Geologist, Environmental Protection Geologist, Exploration Geologist, Geological Specialist, Geologist, Geophysicist, Geoscientist, Mine Geologist, Petroleum Geologist, Project Geologist
Historians	Historians	Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.	Administrative Volunteer, County Historian, County Records Management Officer (County RMO), Historian, Historic Interpreter, Historic Sites Registrar, Historical Interpreter, Programs Director, Research Associate, Researcher
